설문 문제 일련번호,설문 유형 일련번호,항목 출력 순서,설문 문항 설명,프로그램 종류,설문 상세 구분 코드,설문 답항 구분 코드,설문 답항 갯수
QSTNN_QUSTN_CONNO,QSTNN_TPE_CONNO,IEM_OTPT_ORDR,QSTNN_QSITM_DSCRT,PROGRAM,QSTNN_DTL_TPCD,QSTNN_ANSRITM_TPCD,QSTNN_ANSRITM_CNT
1,1,0,성별,,,CD_00000000000000062,
2,1,0,연령,,,CD_00000000000000062,
3,1,0,방문여부,,,CD_00000000000000062,
4,1,0,방문유형,,,CD_00000000000000062,
5,1,0,거주지역,,,CD_00000000000000062,
6,2,0,1순위,,,CD_00000000000000063,3
7,3,0,산림체조,활력찾기,,CD_00000000000000064,
8,3,0,숲길걷기,활력찾기,,CD_00000000000000064,
9,3,0,아로마마사지,활력찾기,,CD_00000000000000064,
10,3,0,명상,활력찾기,,CD_00000000000000064,
11,3,0,진행시간,,,CD_00000000000000064,
12,4,0,직원은 칠절하게 고객을 응대하였다,,SURVEYQST00,CD_00000000000000064,
13,4,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,SURVEYQST00,CD_00000000000000064,
14,4,0,숲체원의 서비스 이용과정이 원활했다.,,SURVEYQST00,CD_00000000000000064,
15,4,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,SURVEYQST00,CD_00000000000000064,
16,4,0,프로그램에 대한 이해가 적절 하였다.,,SURVEYQST01,CD_00000000000000064,
17,4,0,프로그램은 고객에게 도움이 되었다.,,SURVEYQST01,CD_00000000000000064,
18,4,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,SURVEYQST01,CD_00000000000000064,
19,4,0,프로그램 진행자가 전문성이 있다.,,SURVEYQST01,CD_00000000000000064,
20,4,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,SURVEYQST02,CD_00000000000000064,
21,4,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,SURVEYQST02,CD_00000000000000064,
22,4,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,SURVEYQST02,CD_00000000000000064,
23,4,0,시설에 대한 안내표시는 잘 되어있다.,,SURVEYQST02,CD_00000000000000064,
24,4,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,SURVEYQST03,CD_00000000000000064,
25,4,0,객실은 청결하게 관리되어 있다.,,SURVEYQST03,CD_00000000000000064,
26,4,0,식당은 전반적으로 쾌적하였다.,,SURVEYQST03,CD_00000000000000064,
27,4,0,식당의 식단구성 및 맛은 적절하였다.,,SURVEYQST03,CD_00000000000000064,
28,4,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,SURVEYQST04,CD_00000000000000064,
29,4,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,SURVEYQST04,CD_00000000000000064,
30,4,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,SURVEYQST05,CD_00000000000000064,
31,4,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,SURVEYQST05,CD_00000000000000064,
32,5,0,기타의견,,,CD_00000000000000061,
33,6,0,성별,,,CD_00000000000000062,
34,6,0,연령,,,CD_00000000000000062,
35,6,0,방문여부,,,CD_00000000000000062,
36,6,0,방문유형,,,CD_00000000000000062,
37,6,0,거주지역,,,CD_00000000000000062,
38,7,0,02월 01일,,,CD_00000000000000063,3
39,8,0,산림체조,활력찾기,,CD_00000000000000062,
40,8,0,숲길걷기,활력찾기,,CD_00000000000000062,
41,8,0,아로마마사지,활력찾기,,CD_00000000000000062,
42,8,0,명상,활력찾기,,CD_00000000000000062,
43,8,0,나이트워크,활력찾기,,CD_00000000000000062,
44,8,0,실내숲치유,활력충전,,CD_00000000000000062,
45,8,0,"물, 열치유",활력충전,,CD_00000000000000062,
46,8,0,건강측정,,,CD_00000000000000062,
47,8,0,진행시간,,,CD_00000000000000062,
48,9,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
49,9,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
50,9,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
51,9,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
52,9,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
53,9,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
54,9,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
55,9,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
56,9,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
57,9,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
58,9,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
59,9,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
60,9,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
61,9,0,객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
62,9,0,식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
63,9,0,식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
64,9,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
65,9,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
66,9,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
67,9,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
68,10,0,기타의견,,,CD_00000000000000061,
69,11,0,성별,,,CD_00000000000000062,
70,11,0,연령,,,CD_00000000000000062,
71,11,0,방문여부,,,CD_00000000000000062,
72,11,0,방문유형,,,CD_00000000000000062,
73,11,0,거주지역,,,CD_00000000000000062,
74,12,0,1순위,,,CD_00000000000000063,3
75,13,0,산림체조,활력찾기,,CD_00000000000000064,
76,13,0,숲길걷기,활력찾기,,CD_00000000000000064,
77,13,0,아로마마사지,활력찾기,,CD_00000000000000064,
78,13,0,명상,활력찾기,,CD_00000000000000064,
79,13,0,진행시간,,,CD_00000000000000064,
80,14,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
81,14,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
82,14,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
83,14,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
84,14,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
85,14,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
86,14,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
87,14,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
88,14,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
89,14,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
90,14,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
91,14,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
