설문 답변 일련번호,설문 문제 일련번호,설문 답변자 고유번호,설문 답변 내용,답변 등록 일시
QSTNN_ANSR_CONNO,QSTNN_QUSTN_CONNO,QSTNN_ANSRR_IDNO,QSTNN_ANSR_CONT,ANSR_RGSTN_DTM
1,1,1,남자,2019-12-12 5:05
103,1,4,남자,2019-12-12 5:05
137,1,5,남자,2019-12-12 5:05
171,1,6,남자,2019-12-12 5:05
205,1,7,남자,2019-12-12 5:05
239,1,8,여자,2019-12-12 5:05
273,1,9,여자,2019-12-12 5:05
307,1,10,여자,2019-12-12 5:05
341,1,11,남자,2019-12-12 5:05
35,1,2,여자,2019-12-12 5:05
375,1,12,여자,2019-12-12 5:05
69,1,3,여자,2019-12-12 5:05
104,2,4,60대이상,2019-12-12 5:05
138,2,5,60대이상,2019-12-12 5:05
172,2,6,60대이상,2019-12-12 5:05
2,2,1,60대이상,2019-12-12 5:05
206,2,7,60대이상,2019-12-12 5:05
240,2,8,60대이상,2019-12-12 5:05
274,2,9,60대이상,2019-12-12 5:05
308,2,10,60대이상,2019-12-12 5:05
342,2,11,60대이상,2019-12-12 5:05
36,2,2,60대이상,2019-12-12 5:05
376,2,12,60대이상,2019-12-12 5:05
70,2,3,60대이상,2019-12-12 5:05
105,3,4,없다,2019-12-12 5:05
139,3,5,없다,2019-12-12 5:05
173,3,6,없다,2019-12-12 5:05
207,3,7,없다,2019-12-12 5:05
241,3,8,,2019-12-12 5:05
275,3,9,없다,2019-12-12 5:05
3,3,1,없다,2019-12-12 5:05
309,3,10,없다,2019-12-12 5:05
343,3,11,없다,2019-12-12 5:05
37,3,2,없다,2019-12-12 5:05
377,3,12,없다,2019-12-12 5:05
71,3,3,없다,2019-12-12 5:05
106,4,4,참가자,2019-12-12 5:05
140,4,5,참가자,2019-12-12 5:05
174,4,6,인솔자,2019-12-12 5:05
208,4,7,,2019-12-12 5:05
242,4,8,인솔자,2019-12-12 5:05
276,4,9,,2019-12-12 5:05
310,4,10,,2019-12-12 5:05
344,4,11,,2019-12-12 5:05
378,4,12,참가자,2019-12-12 5:05
38,4,2,참가자,2019-12-12 5:05
4,4,1,,2019-12-12 5:05
72,4,3,,2019-12-12 5:05
107,5,4,경기/인천,2019-12-12 5:05
141,5,5,경기/인천,2019-12-12 5:05
175,5,6,경기/인천,2019-12-12 5:05
209,5,7,서울,2019-12-12 5:05
243,5,8,서울,2019-12-12 5:05
277,5,9,경기/인천,2019-12-12 5:05
311,5,10,경기/인천,2019-12-12 5:05
345,5,11,경기/인천,2019-12-12 5:05
379,5,12,경기/인천,2019-12-12 5:05
39,5,2,경기/인천,2019-12-12 5:05
5,5,1,경기/인천,2019-12-12 5:05
73,5,3,경기/인천,2019-12-12 5:05
108,6,4,건강증진,2019-12-12 5:05
109,6,4,산림체험활동,2019-12-12 5:05
110,6,4,휴식 및 명상,2019-12-12 5:05
142,6,5,인간관계돈독,2019-12-12 5:05
